날짜,종가
2026-06-30,59.69
2026-05-31,59.88
2026-04-30,58.93
2026-03-31,54.05
2026-02-28,58.1
2026-01-31,56.47
2025-12-31,53.76
2025-11-30,54.3
2025-10-31,54.97
2025-09-30,54.18
2025-08-31,51.53
2025-07-31,49.8
2025-06-30,49.46
2025-05-31,47.0
2025-04-30,45.25
2025-03-31,45.26
2025-02-28,44.73
2025-01-31,44.4
2024-12-31,44.04
2024-11-30,45.57
2024-10-31,46.57
2024-09-30,47.85
2024-08-31,44.72
2024-07-31,44.29
2024-06-30,43.76
2024-05-31,43.08
2024-04-30,42.17
2024-03-31,41.77
2024-02-29,41.02
2024-01-31,39.64
2023-12-31,41.1
2023-11-30,40.63
2023-10-31,37.94
2023-09-30,39.21
2023-08-31,40.53
2023-07-31,43.07
2023-06-30,40.68
2023-05-31,39.05
2023-04-30,40.24
2023-03-31,40.4
2023-02-28,39.42
2023-01-31,42.23
2022-12-31,38.98
2022-11-30,40.52
2022-10-31,35.45
2022-09-30,36.49
2022-08-31,41.13
2022-07-31,41.32
2022-06-30,41.65
2022-05-31,43.64
2022-04-30,43.44
2022-03-31,46.13
2022-02-28,47.82
2022-01-31,49.67
2021-12-31,49.46
2021-11-30,49.19
2021-10-31,50.66
2021-09-30,50.01
2021-08-31,52.23
2021-07-31,51.11
2021-06-30,54.31
2021-05-31,53.88
2021-04-30,52.98
2021-03-31,52.05
2021-02-28,52.49
2021-01-31,51.68
2020-12-31,50.11
2020-11-30,47.56
2020-10-31,43.81
2020-09-30,43.24
2020-08-31,44.19
2020-07-31,43.01
2020-06-30,39.61
2020-05-31,37.36
2020-04-30,36.17
2020-03-31,33.55
2020-02-29,40.52
2020-01-31,42.01
2019-12-31,44.47
2019-11-30,42.06
2019-10-31,41.85
2019-09-30,40.26
2019-08-31,40.4
2019-07-31,41.76
2019-06-30,42.53
2019-05-31,40.64
2019-04-30,43.41
2019-03-31,42.5
2019-02-28,41.62
2019-01-31,41.78
2018-12-31,38.1
2018-11-30,39.69
2018-10-31,37.86
2018-09-30,41.0
2018-08-31,42.04
2018-07-31,43.88
2018-06-30,42.2
2018-05-31,44.61
2018-04-30,45.68
2018-03-31,46.98
2018-02-28,47.17
2018-01-31,49.84
2017-12-31,45.91
2017-11-30,44.48
2017-10-31,44.63
2017-09-30,43.57
2017-08-31,44.3
2017-07-31,43.01
2017-06-30,40.83
2017-05-31,40.74
2017-04-30,40.34
2017-03-31,39.72
2017-02-28,38.69
2017-01-31,37.84
2016-12-31,35.78
2016-11-30,36.22
2016-10-31,37.75
2016-09-30,37.63
2016-08-31,37.33
2016-07-31,37.04
2016-06-30,35.23
2016-05-31,33.8
2016-04-30,34.93
2016-03-31,34.58
2016-02-29,30.73
2016-01-31,30.83
2015-12-31,32.71
2015-11-30,34.04
2015-10-31,34.84
2015-09-30,33.09
2015-08-31,34.54
2015-07-31,38.32
2015-06-30,40.88
2015-05-31,42.34
2015-04-30,43.9
2015-03-31,40.87
2015-02-28,41.8
2015-01-31,39.94
2014-12-31,40.02
2014-11-30,42.17
2014-10-31,42.64
2014-09-30,41.71
2014-08-31,45.4
2014-07-31,43.72
2014-06-30,43.13
2014-05-31,42.21
2014-04-30,40.94
2014-03-31,40.58
2014-02-28,38.89
2014-01-31,37.67
2013-12-31,41.14
2013-11-30,41.48
2013-10-31,41.87
2013-09-30,40.13
2013-08-31,37.72
2013-07-31,39.06
2013-06-30,38.79
2013-05-31,41.54
2013-04-30,43.76
2013-03-31,42.9
2013-02-28,43.51
2013-01-31,44.56
2012-12-31,44.53
2012-11-30,42.02
2012-10-31,41.49
2012-09-30,41.72
2012-08-31,40.11
2012-07-31,40.01
2012-06-30,39.93
2012-05-31,38.02
2012-04-30,42.56
2012-03-31,43.47
2012-02-29,44.63
2012-01-31,42.33
2011-12-31,38.21
2011-11-30,40.82
2011-10-31,41.53
2011-09-30,35.83
2011-08-31,43.93
2011-07-31,48.32
2011-06-30,48.62
2011-05-31,49.11
2011-04-30,50.6
2011-03-31,48.95
2011-02-28,46.41
2011-01-31,46.49
2010-12-31,48.15
2010-11-30,45.54
2010-10-31,46.87
2010-09-30,45.46
2010-08-31,40.8
2010-07-31,41.87
2010-06-30,37.99
2010-05-31,38.2
2010-04-30,42.06
2010-03-31,42.15
2010-02-28,38.96
2010-01-31,38.24
2009-12-31,41.0
2009-11-30,40.3
2009-10-31,37.6
2009-09-30,38.53
2009-08-31,35.04
2009-07-31,35.29
2009-06-30,31.82
2009-05-31,32.62
2009-04-30,27.67
2009-03-31,23.56
2009-02-28,20.96
2009-01-31,21.47
2008-12-31,23.57
2008-11-30,23.03
2008-10-31,25.21
2008-09-30,34.66
2008-08-31,41.06
2008-07-31,44.59
2008-06-30,46.8
2008-05-31,51.89
2008-04-30,50.98
2008-03-31,47.01
2008-02-29,48.81
2008-01-31,47.44
2007-12-31,52.15
2007-11-30,53.64
2007-10-31,58.64
2007-09-30,51.89
2007-08-31,47.24
2007-07-31,47.25
2007-06-30,45.65
2007-05-31,43.66
2007-04-30,40.94
2007-03-31,39.44
2007-02-28,37.83
2007-01-31,38.72
2006-12-31,38.69
2006-11-30,37.86
2006-10-31,35.28
2006-09-30,33.57
2006-08-31,33.22
2006-07-31,32.74
2006-06-30,32.14
2006-05-31,32.17
2006-04-30,36.26
2006-03-31,33.64
