날짜,종가
2026-06-30,53.11
2026-05-31,55.89
2026-04-30,59.22
2026-03-31,60.82
2026-02-28,55.16
2026-01-31,50.36
2025-12-31,44.1
2025-11-30,44.23
2025-10-31,43.1
2025-09-30,43.69
2025-08-31,43.83
2025-07-31,42.29
2025-06-30,41.12
2025-05-31,39.21
2025-04-30,38.72
2025-03-31,44.95
2025-02-28,43.43
2025-01-31,41.83
2024-12-31,40.88
2024-11-30,45.21
2024-10-31,41.93
2024-09-30,41.55
2024-08-31,42.85
2024-07-31,43.75
2024-06-30,42.79
2024-05-31,43.4
2024-04-30,43.55
2024-03-31,43.96
2024-02-29,39.79
2024-01-31,38.53
2023-12-31,38.73
2023-11-30,38.7
2023-10-31,38.98
2023-09-30,41.36
2023-08-31,40.39
2023-07-31,39.73
2023-06-30,36.87
2023-05-31,34.48
2023-04-30,38.33
2023-03-31,37.29
2023-02-28,37.29
2023-01-31,40.07
2022-12-31,38.97
2022-11-30,40.2
2022-10-31,39.69
2022-09-30,31.76
2022-08-31,35.12
2022-07-31,34.21
2022-06-30,31.2
2022-05-31,37.62
2022-04-30,32.42
2022-03-31,32.98
2022-02-28,30.16
2022-01-31,28.17
2021-12-31,23.72
2021-11-30,23.03
2021-10-31,24.25
2021-09-30,21.98
2021-08-31,20.17
2021-07-31,20.59
2021-06-30,22.45
2021-05-31,21.54
2021-04-30,20.38
2021-03-31,20.24
2021-02-28,19.66
2021-01-31,16.05
2020-12-31,15.47
2020-11-30,14.81
2020-10-31,11.57
2020-09-30,12.07
2020-08-31,14.13
2020-07-31,14.28
2020-06-30,15.0
2020-05-31,15.17
2020-04-30,14.87
2020-03-31,11.37
2020-02-29,17.33
2020-01-31,20.46
2019-12-31,22.98
2019-11-30,21.68
2019-10-31,21.33
2019-09-30,21.79
2019-08-31,20.97
2019-07-31,22.87
2019-06-30,23.24
2019-05-31,21.24
2019-04-30,23.89
2019-03-31,23.9
2019-02-28,23.4
2019-01-31,22.87
2018-12-31,20.57
2018-11-30,23.49
2018-10-31,23.86
2018-09-30,26.91
2018-08-31,26.27
2018-07-31,27.21
2018-06-30,26.8
2018-05-31,26.65
2018-04-30,25.87
2018-03-31,23.63
2018-02-28,23.23
2018-01-31,26.05
2017-12-31,25.15
2017-11-30,23.89
2017-10-31,23.48
2017-09-30,23.68
2017-08-31,21.49
2017-07-31,22.73
2017-06-30,22.15
2017-05-31,22.18
2017-04-30,22.99
2017-03-31,23.69
2017-02-28,24.05
2017-01-31,24.56
2016-12-31,25.37
2016-11-30,24.94
2016-10-31,23.0
2016-09-30,23.66
2016-08-31,22.82
2016-07-31,22.44
2016-06-30,22.73
2016-05-31,22.13
2016-04-30,22.34
2016-03-31,20.48
2016-02-29,18.59
2016-01-31,19.13
2015-12-31,19.82
2015-11-30,22.15
2015-10-31,22.15
2015-09-30,19.93
2015-08-31,21.47
2015-07-31,22.43
2015-06-30,24.29
2015-05-31,25.17
2015-04-30,26.55
2015-03-31,24.91
2015-02-28,25.2
2015-01-31,24.1
2014-12-31,25.25
2014-11-30,25.3
2014-10-31,27.71
2014-09-30,28.72
2014-08-31,31.14
2014-07-31,30.47
2014-06-30,31.57
2014-05-31,29.92
2014-04-30,29.42
2014-03-31,27.95
2014-02-28,27.38
2014-01-31,26.04
2013-12-31,27.65
2013-11-30,26.87
2013-10-31,26.86
2013-09-30,25.78
2013-08-31,25.24
2013-07-31,25.51
2013-06-30,24.23
2013-05-31,24.79
2013-04-30,24.11
2013-03-31,24.43
2013-02-28,23.82
2013-01-31,23.72
2012-12-31,21.9
2012-11-30,21.68
2012-10-31,21.95
2012-09-30,22.4
2012-08-31,21.72
2012-07-31,21.15
2012-06-30,20.16
2012-05-31,19.23
2012-04-30,21.53
2012-03-31,21.69
2012-02-29,22.55
2012-01-31,21.28
2011-12-31,20.81
2011-11-30,21.25
2011-10-31,20.9
2011-09-30,17.54
2011-08-31,20.5
2011-07-31,22.83
2011-06-30,22.5
2011-05-31,22.94
2011-04-30,23.95
2011-03-31,23.73
2011-02-28,23.29
2011-01-31,21.69
2010-12-31,20.24
2010-11-30,18.51
2010-10-31,17.49
2010-09-30,16.55
2010-08-31,15.05
2010-07-31,15.82
2010-06-30,14.6
2010-05-31,15.52
2010-04-30,17.53
2010-03-31,16.83
2010-02-28,16.37
2010-01-31,15.89
2009-12-31,16.62
2009-11-30,16.47
2009-10-31,16.02
2009-09-30,15.63
2009-08-31,14.77
2009-07-31,14.61
2009-06-30,13.87
2009-05-31,14.84
2009-04-30,13.15
2009-03-31,12.19
2009-02-28,11.75
2009-01-31,13.41
2008-12-31,13.65
2008-11-30,14.29
2008-10-31,14.61
2008-09-30,17.99
2008-08-31,21.15
2008-07-31,21.08
2008-06-30,25.07
2008-05-31,24.3
2008-04-30,23.1
2008-03-31,20.93
2008-02-29,21.43
2008-01-31,19.61
2007-12-31,22.36
2007-11-30,20.65
2007-10-31,21.56
2007-09-30,21.02
2007-08-31,19.57
2007-07-31,19.34
2007-06-30,19.34
2007-05-31,19.09
2007-04-30,17.71
2007-03-31,16.85
2007-02-28,15.85
2007-01-31,16.18
2006-12-31,16.33
2006-11-30,16.81
2006-10-31,15.48
2006-09-30,14.85
2006-08-31,15.41
2006-07-31,16.24
2006-06-30,15.71
2006-05-31,15.32
2006-04-30,15.76
2006-03-31,15.0
2006-02-28,14.39
2006-01-31,15.86
2005-12-31,13.83
2005-11-30,13.59
2005-10-31,13.39
2005-09-30,14.72
2005-08-31,13.85
2005-07-31,13.02
2005-06-30,12.16
2005-05-31,11.36
2005-04-30,11.06
2005-03-31,11.69
2005-02-28,11.92
2005-01-31,10.2
