날짜,종가
2026-06-30,53.61
2026-05-31,51.4
2026-04-30,51.95
2026-03-31,49.2
2026-02-28,50.99
2026-01-31,52.98
2025-12-31,54.3
2025-11-30,52.69
2025-10-31,51.74
2025-09-30,53.22
2025-08-31,53.16
2025-07-31,51.57
2025-06-30,51.57
2025-05-31,50.01
2025-04-30,47.85
2025-03-31,48.88
2025-02-28,51.02
2025-01-31,50.33
2024-12-31,47.26
2024-11-30,49.99
2024-10-31,45.26
2024-09-30,44.13
2024-08-31,44.37
2024-07-31,42.43
2024-06-30,39.88
2024-05-31,40.24
2024-04-30,39.0
2024-03-31,40.7
2024-02-29,38.83
2024-01-31,37.31
2023-12-31,36.2
2023-11-30,34.39
2023-10-31,31.0
2023-09-30,31.77
2023-08-31,32.79
2023-07-31,33.69
2023-06-30,32.15
2023-05-31,30.15
2023-04-30,31.49
2023-03-31,30.52
2023-02-28,33.75
2023-01-31,34.54
2022-12-31,32.31
2022-11-30,34.09
2022-10-31,31.9
2022-09-30,28.5
2022-08-31,30.87
2022-07-31,31.48
2022-06-30,29.37
2022-05-31,32.95
2022-04-30,32.06
2022-03-31,35.6
2022-02-28,35.64
2022-01-31,36.14
2021-12-31,36.14
2021-11-30,34.96
2021-10-31,37.08
2021-09-30,34.56
2021-08-31,35.21
2021-07-31,33.49
2021-06-30,33.64
2021-05-31,34.7
2021-04-30,33.12
2021-03-31,31.1
2021-02-28,29.38
2021-01-31,26.32
2020-12-31,26.81
2020-11-30,25.22
2020-10-31,21.58
2020-09-30,21.77
2020-08-31,22.54
2020-07-31,21.62
2020-06-30,20.82
2020-05-31,20.92
2020-04-30,20.37
2020-03-31,18.61
2020-02-29,23.57
2020-01-31,26.55
2019-12-31,27.28
2019-11-30,26.59
2019-10-31,25.31
2019-09-30,24.69
2019-08-31,23.62
2019-07-31,24.79
2019-06-30,24.21
2019-05-31,22.7
2019-04-30,24.46
2019-03-31,22.44
2019-02-28,23.03
2019-01-31,22.53
2018-12-31,20.69
2018-11-30,23.28
2018-10-31,22.68
2018-09-30,23.8
2018-08-31,24.34
2018-07-31,24.02
2018-06-30,22.85
2018-05-31,23.25
2018-04-30,23.49
2018-03-31,23.59
2018-02-28,24.61
2018-01-31,25.35
2017-12-31,23.79
2017-11-30,23.35
2017-10-31,22.57
2017-09-30,21.94
2017-08-31,20.87
2017-07-31,21.2
2017-06-30,20.85
2017-05-31,19.57
2017-04-30,19.81
2017-03-31,19.98
2017-02-28,20.58
2017-01-31,19.55
2016-12-31,19.5
2016-11-30,18.8
2016-10-31,16.48
2016-09-30,16.12
2016-08-31,16.58
2016-07-31,15.97
2016-06-30,15.43
2016-05-31,15.95
2016-04-30,15.65
2016-03-31,15.11
2016-02-29,14.1
2016-01-31,14.52
2015-12-31,15.93
2015-11-30,16.32
2015-10-31,16.0
2015-09-30,15.05
2015-08-31,15.49
2015-07-31,16.67
2015-06-30,16.12
2015-05-31,16.19
2015-04-30,15.88
2015-03-31,15.87
2015-02-28,15.97
2015-01-31,15.09
2014-12-31,16.22
2014-11-30,15.92
2014-10-31,15.55
2014-09-30,15.12
2014-08-31,15.18
2014-07-31,14.56
2014-06-30,14.78
2014-05-31,14.43
2014-04-30,14.21
2014-03-31,14.46
2014-02-28,13.99
2014-01-31,13.58
2013-12-31,14.1
2013-11-30,13.79
2013-10-31,13.2
2013-09-30,12.78
2013-08-31,12.43
2013-07-31,13.1
2013-06-30,12.43
2013-05-31,12.63
2013-04-30,11.91
2013-03-31,11.59
2013-02-28,11.16
2013-01-31,11.03
2012-12-31,10.4
2012-11-30,9.94
2012-10-31,10.03
2012-09-30,9.83
2012-08-31,9.52
2012-07-31,9.21
2012-06-30,9.19
2012-05-31,8.76
2012-04-30,9.64
2012-03-31,9.88
2012-02-29,9.2
2012-01-31,8.76
2011-12-31,8.1
2011-11-30,7.93
2011-10-31,8.36
2011-09-30,7.31
2011-08-31,8.25
2011-07-31,9.13
2011-06-30,9.47
2011-05-31,9.73
2011-04-30,10.06
2011-03-31,10.07
2011-02-28,10.33
2011-01-31,10.05
2010-12-31,9.78
2010-11-30,8.83
2010-10-31,8.89
2010-09-30,8.76
2010-08-31,8.26
2010-07-31,8.96
2010-06-30,8.41
2010-05-31,8.93
2010-04-30,9.83
2010-03-31,9.7
2010-02-28,8.91
2010-01-31,8.6
2009-12-31,8.74
2009-11-30,8.86
2009-10-31,8.49
2009-09-30,9.03
2009-08-31,8.86
2009-07-31,7.84
2009-06-30,7.2
2009-05-31,7.33
2009-04-30,6.43
2009-03-31,5.28
2009-02-28,4.51
2009-01-31,5.48
2008-12-31,7.43
2008-11-30,7.4
2008-10-31,9.08
2008-09-30,11.63
2008-08-31,12.41
2008-07-31,12.53
2008-06-30,11.73
2008-05-31,14.21
2008-04-30,15.28
2008-03-31,14.28
2008-02-29,14.71
2008-01-31,16.6
2007-12-31,16.48
2007-11-30,17.5
2007-10-31,19.04
2007-09-30,19.37
2007-08-31,18.91
2007-07-31,18.43
2007-06-30,20.27
2007-05-31,21.12
2007-04-30,20.62
2007-03-31,19.85
2007-02-28,19.95
2007-01-31,20.57
2006-12-31,20.38
2006-11-30,19.65
2006-10-31,19.51
2006-09-30,19.06
2006-08-31,18.32
2006-07-31,18.11
2006-06-30,17.71
2006-05-31,17.79
2006-04-30,18.48
2006-03-31,17.72
2006-02-28,17.67
2006-01-31,17.3
2005-12-31,17.15
2005-11-30,17.14
2005-10-31,16.36
2005-09-30,15.88
