날짜,종가
2026-06-30,138670
2026-05-31,134960
2026-04-30,99970
2026-03-31,75375
2026-02-28,94045
2026-01-31,77160
2025-12-31,60770
2025-11-30,55578
2025-10-31,57957
2025-09-30,47399
2025-08-31,42976
2025-07-31,43709
2025-06-30,41322
2025-05-31,35796
2025-04-30,33669
2025-03-31,33131
2025-02-28,33025
2025-01-31,32725
2024-12-31,31259
2024-11-30,31834
2024-10-31,33251
2024-09-30,33817
2024-08-31,35293
2024-07-31,37070
2024-06-30,37354
2024-05-31,34854
2024-04-30,35447
2024-03-31,36311
2024-02-29,34286
2024-01-31,32391
2023-12-31,34554
2023-11-30,32347
2023-10-31,29225
2023-09-30,31222
2023-08-31,31903
2023-07-31,32911
2023-06-30,32187
2023-05-31,32177
2023-04-30,30918
2023-03-31,30552
2023-02-28,29811
2023-01-31,30046
2022-12-31,27602
2022-11-30,29858
2022-10-31,27910
2022-09-30,26244
2022-08-31,29910
2022-07-31,30056
2022-06-30,28595
2022-05-31,32807
2022-04-30,32886
2022-03-31,33860
2022-02-28,33407
2022-01-31,33090
2021-12-31,36326
2021-11-30,34088
2021-10-31,35380
2021-09-30,36534
2021-08-31,38135
2021-07-31,38562
2021-06-30,39791
2021-05-31,38763
2021-04-30,38324
2021-03-31,37647
2021-02-28,37203
2021-01-31,36697
2020-12-31,35233
2020-11-30,30900
2020-10-31,26896
2020-09-30,27587
2020-08-31,27318
2020-07-31,26621
2020-06-30,24908
2020-05-31,23752
2020-04-30,22908
2020-03-31,21073
2020-02-29,23734
2020-01-31,25196
2019-12-31,25959
2019-11-30,24138
2019-10-31,24077
2019-09-30,23826
2019-08-31,22502
2019-07-31,23175
2019-06-30,24127
2019-05-31,22831
2019-04-30,24697
2019-03-31,24054
2019-02-28,24592
2019-01-31,24730
2018-12-31,22632
2018-11-30,23122
2018-10-31,22450
2018-09-30,25561
2018-08-31,25409
2018-07-31,25266
2018-06-30,25418
2018-05-31,26317
2018-04-30,27279
2018-03-31,26648
2018-02-28,26406
2018-01-31,28098
2017-12-31,27351
2017-11-30,27085
2017-10-31,27829
2017-09-30,26390
2017-08-31,25642
2017-07-31,26181
2017-06-30,25981
2017-05-31,25347
2017-04-30,23838
2017-03-31,23306
2017-02-28,22362
2017-01-31,22245
2016-12-31,21502
2016-11-30,20755
2016-10-31,20855
2016-09-30,20974
2016-08-31,20909
2016-07-31,20515
2016-06-30,19876
2016-05-31,19816
2016-04-30,19947
2016-03-31,19978
2016-02-29,19152
2016-01-31,18848
2015-12-31,19551
2015-11-30,19602
2015-10-31,20005
2015-09-30,18918
2015-08-31,18506
2015-07-31,19445
2015-06-30,20156
2015-05-31,20811
2015-04-30,21307
2015-03-31,20534
2015-02-28,20099
2015-01-31,20052
2014-12-31,19456
2014-11-30,20000
2014-10-31,19735
2014-09-30,20298
2014-08-31,20903
2014-07-31,21304
2014-06-30,20473
2014-05-31,20560
2014-04-30,20108
