날짜,종가
2026-07-31,179850
2026-06-30,204755
2026-05-31,201654
2026-04-30,177733
2026-03-31,156521
2026-02-28,158610
2026-01-31,163133
2025-12-31,162352
2025-11-30,164320
2025-10-31,163797
2025-09-30,152491
2025-08-31,145224
2025-07-31,144787
2025-06-30,135058
2025-05-31,129699
2025-04-30,121942
2025-03-31,123603
2025-02-28,132702
2025-01-31,138435
2024-12-31,139409
2024-11-30,128029
2024-10-31,122992
2024-09-30,114825
2024-08-31,114207
2024-07-31,115401
2024-06-30,120347
2024-05-31,112583
2024-04-30,107947
2024-03-31,108574
2024-02-29,104593
2024-01-31,101702
2023-12-31,95985
2023-11-30,90837
2023-10-31,84497
2023-09-30,86459
2023-08-31,89684
2023-07-31,87878
2023-06-30,86564
2023-05-31,83116
2023-04-30,77037
2023-03-31,73885
2023-02-28,69980
2023-01-31,64111
2022-12-31,59460
2022-11-30,66453
2022-10-31,71626
2022-09-30,70154
2022-08-31,72811
2022-07-31,73194
2022-06-30,65390
2022-05-31,68741
2022-04-30,73437
2022-03-31,80113
2022-02-28,72756
2022-01-31,74573
2021-12-31,85537
2021-11-30,84663
2021-10-31,79802
2021-09-30,76802
2021-08-31,79254
2021-07-31,74506
2021-06-30,71610
2021-05-31,66354
2021-04-30,67457
2021-03-31,63609
2021-02-28,62396
2021-01-31,63291
2020-12-31,61011
2020-11-30,58774
2020-10-31,54580
2020-09-30,58057
2020-08-31,62309
2020-07-31,56320
2020-06-30,52225
2020-05-31,50698
2020-04-30,46743
2020-03-31,41588
2020-02-29,43671
2020-01-31,47338
2019-12-31,44282
2019-11-30,43305
2019-10-31,41006
2019-09-30,40115
2019-08-31,40432
2019-07-31,40971
2019-06-30,38510
2019-05-31,37200
2019-04-30,39556
2019-03-31,36491
2019-02-28,34594
2019-01-31,33038
2018-12-31,30439
2018-11-30,33448
2018-10-31,33968
2018-09-30,36926
2018-08-31,37031
2018-07-31,34968
2018-06-30,34249
2018-05-31,32751
2018-04-30,31123
2018-03-31,30459
2018-02-28,32548
2018-01-31,32226
2017-12-31,30047
2017-11-30,29693
2017-10-31,30294
2017-09-30,29538
2017-08-31,29091
2017-07-31,28674
2017-06-30,28030
2017-05-31,28218
2017-04-30,27416
2017-03-31,26336
2017-02-28,26223
2017-01-31,25763
2016-12-31,25699
2016-11-30,24711
2016-10-31,23892
2016-09-30,22923
2016-08-31,23079
2016-07-31,22755
2016-06-30,21712
2016-05-31,23319
2016-04-30,21470
2016-03-31,22111
2016-02-29,22441
2016-01-31,21760
2015-12-31,23687
2015-11-30,23309
2015-10-31,22886
2015-09-30,21005
2015-08-31,21837
2015-07-31,23099
2015-06-30,21029
2015-05-31,21568
2015-04-30,20544
2015-03-31,20800
2015-02-28,20991
2015-01-31,19601
2014-12-31,20323
2014-11-30,20419
2014-10-31,18503
2014-09-30,18287
2014-08-31,17626
2014-07-31,17398
2014-06-30,16611
2014-05-31,16217
