날짜,종가
2026-06-30,9600
2026-05-31,12410
2026-04-30,11930
2026-03-31,11900
2026-02-28,15020
2026-01-31,18500
2025-12-31,12605
2025-11-30,9241
2025-10-31,8348
2025-09-30,8109
2025-08-31,6768
2025-07-31,6464
2025-06-30,6320
2025-05-31,5801
2025-04-30,5786
2025-03-31,6175
2025-02-28,5592
2025-01-31,5801
2024-12-31,5333
2024-11-30,5522
2024-10-31,6090
2024-09-30,5707
2024-08-31,5363
2024-07-31,5228
2024-06-30,5348
2024-05-31,5717
2024-04-30,4954
2024-03-31,4660
2024-02-29,4196
2024-01-31,4311
2023-12-31,4580
2023-11-30,4725
2023-10-31,4401
2023-09-30,4351
2023-08-31,4685
2023-07-31,4665
2023-06-30,4356
2023-05-31,4540
2023-04-30,4879
2023-03-31,4695
2023-02-28,4052
2023-01-31,4645
2022-12-31,4710
2022-11-30,4231
2022-10-31,3803
2022-09-30,3768
2022-08-31,3663
2022-07-31,4062
2022-06-30,4181
2022-05-31,4441
2022-04-30,4775
2022-03-31,5044
2022-02-28,4954
2022-01-31,4635
2021-12-31,4620
2021-11-30,4660
2021-10-31,4884
2021-09-30,4406
2021-08-31,4964
2021-07-31,5248
2021-06-30,5323
2021-05-31,5786
2021-04-30,5358
2021-03-31,4964
2021-02-28,5567
2021-01-31,5452
2020-12-31,5472
2020-11-30,4610
2020-10-31,4874
2020-09-30,4944
2020-08-31,5891
2020-07-31,5128
2020-06-30,3828
2020-05-31,3837
2020-04-30,3284
2020-03-31,3090
2020-02-29,3778
2020-01-31,3917
2019-12-31,3947
2019-11-30,3743
2019-10-31,3967
2019-09-30,3857
2019-08-31,4097
2019-07-31,3693
2019-06-30,3419
2019-05-31,3254
2019-04-30,3344
2019-03-31,3379
2019-02-28,3553
2019-01-31,3623
2018-12-31,3479
2018-11-30,3259
2018-10-31,3299
2018-09-30,3264
2018-08-31,3359
2018-07-31,3563
2018-06-30,3723
2018-05-31,3818
2018-04-30,3818
2018-03-31,3837
2018-02-28,3828
2018-01-31,3992
2017-12-31,3917
2017-11-30,3872
2017-10-31,3962
2017-09-30,3967
2017-08-31,4082
2017-07-31,3942
2017-06-30,3977
2017-05-31,4092
2017-04-30,4147
2017-03-31,4316
2017-02-28,4381
2017-01-31,4122
2016-12-31,3882
2016-11-30,4042
2016-10-31,4351
2016-09-30,4655
2016-08-31,4580
2016-07-31,4939
2016-06-30,4505
2016-05-31,3967
2016-04-30,4376
2016-03-31,3788
2016-02-29,3638
2016-01-31,3518
2015-12-31,3454
2015-11-30,3469
2015-10-31,3862
2015-09-30,3658
2015-08-31,3588
2015-07-31,3658
2015-06-30,3942
2015-05-31,4206
2015-04-30,4127
2015-03-31,4107
2015-02-28,4186
2015-01-31,4296
2014-12-31,3997
2014-11-30,4102
2014-10-31,4122
2014-09-30,4436
2014-08-31,4964
2014-07-31,5218
2014-06-30,5303
2014-05-31,4829
2014-04-30,4929
