날짜,종가
2026-06-30,105740
2026-05-31,105440
2026-04-30,106155
2026-03-31,106070
2026-02-28,109410
2026-01-31,107535
2025-12-31,109180
2025-11-30,109288
2025-10-31,111579
2025-09-30,112275
2025-08-31,113223
2025-07-31,112981
2025-06-30,112590
2025-05-31,112633
2025-04-30,114518
2025-03-31,112222
2025-02-28,112541
2025-01-31,110922
2024-12-31,109554
2024-11-30,111659
2024-10-31,108321
2024-09-30,109073
2024-08-31,108073
2024-07-31,108017
2024-06-30,106136
2024-05-31,103517
2024-04-30,102597
2024-03-31,104044
2024-02-29,103246
2024-01-31,104053
2023-12-31,105043
2023-11-30,100829
2023-10-31,95944
2023-09-30,97723
2023-08-31,99058
2023-07-31,99144
2023-06-30,99190
2023-05-31,100368
2023-04-30,101404
2023-03-31,101223
2023-02-28,97461
2023-01-31,100707
2022-12-31,97189
2022-11-30,97767
2022-10-31,93039
2022-09-30,93817
2022-08-31,96388
2022-07-31,101139
2022-06-30,96746
2022-05-31,99182
2022-04-30,99602
2022-03-31,101546
2022-02-28,103911
2022-01-31,104332
2021-12-31,107023
2021-11-30,107215
2021-10-31,103794
2021-09-30,106767
2021-08-31,109498
2021-07-31,109654
2021-06-30,107824
2021-05-31,106803
2021-04-30,107193
2021-03-31,107645
2021-02-28,108067
2021-01-31,109647
2020-12-31,109696
2020-11-30,110129
2020-10-31,111070
2020-09-30,111961
2020-08-31,111034
2020-07-31,112968
2020-06-30,111926
2020-05-31,111759
2020-04-30,110233
2020-03-31,109657
2020-02-29,111491
2020-01-31,109478
2019-12-31,108156
2019-11-30,108597
2019-10-31,107456
2019-09-30,109805
2019-08-31,111274
2019-07-31,110088
2019-06-30,108169
2019-05-31,107427
2019-04-30,105897
2019-03-31,105909
2019-02-28,104265
2019-01-31,103788
2018-12-31,104244
2018-11-30,102928
2018-10-31,101534
2018-09-30,100495
2018-08-31,100557
2018-07-31,98585
2018-06-30,98307
2018-05-31,97129
2018-04-30,96786
2018-03-31,97195
2018-02-28,96089
2018-01-31,95537
2017-12-31,97621
2017-11-30,97569
2017-10-31,96728
2017-09-30,97945
2017-08-31,98794
2017-07-31,98828
2017-06-30,98812
2017-05-31,98727
2017-04-30,98613
2017-03-31,98602
2017-02-28,98550
2017-01-31,98366
2016-12-31,99023
2016-11-30,98332
2016-10-31,101797
2016-09-30,104131
2016-08-31,103362
2016-07-31,104196
2016-06-30,103367
2016-05-31,100355
2016-04-30,100262
2016-03-31,100135
2016-02-29,100064
2016-01-31,98236
2015-12-31,97396
2015-11-30,95973
2015-10-31,96900
2015-09-30,97139
2015-08-31,95277
2015-07-31,94115
2015-06-30,93598
2015-05-31,94213
2015-04-30,93572
2015-03-31,95172
2015-02-28,93407
2015-01-31,94070
2014-12-31,91366
2014-11-30,91199
2014-10-31,90616
2014-09-30,88882
2014-08-31,87436
2014-07-31,87094
2014-06-30,86229
2014-05-31,84850
2014-04-30,83433
