날짜,종가
2026-08-31,13680
2026-07-31,14279
2026-06-30,14100
2026-05-31,13573
2026-04-30,13359
2026-03-31,12297
2026-02-28,13321
2026-01-31,12188
2025-12-31,12175
2025-11-30,12398
2025-10-31,12149
2025-09-30,12261
2025-08-31,12105
2025-07-31,11993
2025-06-30,11816
2025-05-31,11946
2025-04-30,11592
2025-03-31,11870
2025-02-28,12489
2025-01-31,12211
2024-12-31,11903
2024-11-30,13136
2024-10-31,12758
2024-09-30,12805
2024-08-31,12579
2024-07-31,12077
2024-06-30,11123
2024-05-31,10750
2024-04-30,10615
2024-03-31,11311
2024-02-29,11013
2024-01-31,10985
2023-12-31,11533
2023-11-30,10349
2023-10-31,9278
2023-09-30,9855
2023-08-31,10765
2023-07-31,10962
2023-06-30,10671
2023-05-31,10200
2023-04-30,10435
2023-03-31,10199
2023-02-28,10892
2023-01-31,11156
2022-12-31,10091
2022-11-30,10681
2022-10-31,10221
2022-09-30,9759
2022-08-31,11457
2022-07-31,12029
2022-06-30,10993
2022-05-31,12054
2022-04-30,13495
2022-03-31,13553
2022-02-28,12583
2022-01-31,12488
2021-12-31,13870
2021-11-30,13089
2021-10-31,13040
2021-09-30,12309
2021-08-31,12738
2021-07-31,12526
2021-06-30,12099
2021-05-31,11767
2021-04-30,11556
2021-03-31,10920
2021-02-28,10620
2021-01-31,10055
2020-12-31,9877
2020-11-30,9948
2020-10-31,8776
2020-09-30,8993
2020-08-31,9464
2020-07-31,9226
2020-06-30,8827
2020-05-31,8913
2020-04-30,8626
2020-03-31,8109
2020-02-29,10424
2020-01-31,11269
2019-12-31,10939
2019-11-30,11172
2019-10-31,11319
2019-09-30,11124
2019-08-31,10811
2019-07-31,10601
2019-06-30,10310
2019-05-31,10214
2019-04-30,10186
2019-03-31,10339
2019-02-28,9981
2019-01-31,9862
2018-12-31,8834
2018-11-30,9598
2018-10-31,9413
2018-09-30,9417
2018-08-31,9826
2018-07-31,9403
2018-06-30,9475
2018-05-31,9108
2018-04-30,8775
2018-03-31,8612
2018-02-28,8317
2018-01-31,8849
2017-12-31,9353
2017-11-30,9413
2017-10-31,9193
2017-09-30,9248
2017-08-31,9248
2017-07-31,9304
2017-06-30,9234
2017-05-31,9043
2017-04-30,9193
2017-03-31,9040
2017-02-28,9362
2017-01-31,8923
2016-12-31,8743
2016-11-30,8662
2016-10-31,8636
2016-09-30,9316
2016-08-31,9439
2016-07-31,9696
2016-06-30,9298
2016-05-31,8826
2016-04-30,8709
2016-03-31,8762
2016-02-29,8021
2016-01-31,7860
2015-12-31,8409
2015-11-30,8233
2015-10-31,8302
2015-09-30,7694
2015-08-31,7715
2015-07-31,8012
2015-06-30,7636
2015-05-31,8106
2015-04-30,8180
2015-03-31,8614
2015-02-28,8330
2015-01-31,8906
2014-12-31,8291
2014-11-30,8005
2014-10-31,7770
2014-09-30,7204
2014-08-31,7554
2014-07-31,7505
2014-06-30,7406
