날짜,종가
2026-06-30,15060
2026-05-31,14400
2026-04-30,13740
2026-03-31,13035
2026-02-28,12865
2026-01-31,12725
2025-12-31,12545
2025-11-30,12290
2025-10-31,12183
2025-09-30,11905
2025-08-31,11417
2025-07-31,10207
2025-06-30,9558
2025-05-31,9499
2025-04-30,9465
2025-03-31,10100
2025-02-28,10104
2025-01-31,9948
2024-12-31,10334
2024-11-30,9684
2024-10-31,9747
2024-09-30,9577
2024-08-31,8095
2024-07-31,8420
2024-06-30,8319
2024-05-31,8701
2024-04-30,8759
2024-03-31,8338
2024-02-29,8202
2024-01-31,7582
2023-12-31,7931
2023-11-30,8005
2023-10-31,8395
2023-09-30,8712
2023-08-31,8731
2023-07-31,9111
2023-06-30,8827
2023-05-31,8899
2023-04-30,9736
2023-03-31,9639
2023-02-28,9721
2023-01-31,9644
2022-12-31,8870
2022-11-30,8976
2022-10-31,8672
2022-09-30,9737
2022-08-31,10026
2022-07-31,10174
2022-06-30,10930
2022-05-31,9508
2022-04-30,9556
2022-03-31,10084
2022-02-28,10796
2022-01-31,10855
2021-12-31,11505
2021-11-30,11165
2021-10-31,11250
2021-09-30,11170
2021-08-31,10826
2021-07-31,10688
2021-06-30,11383
2021-05-31,11614
2021-04-30,10949
2021-03-31,10826
2021-02-28,11524
2021-01-31,11241
2020-12-31,10589
2020-11-30,10390
2020-10-31,9916
2020-09-30,9870
2020-08-31,10435
2020-07-31,9939
2020-06-30,8491
2020-05-31,8106
2020-04-30,8259
2020-03-31,7739
2020-02-29,8291
2020-01-31,7716
2019-12-31,8286
2019-11-30,7887
2019-10-31,7897
2019-09-30,7906
2019-08-31,7873
2019-07-31,7991
2019-06-30,7818
2019-05-31,7544
2019-04-30,8183
2019-03-31,7897
2019-02-28,7408
2019-01-31,6446
2018-12-31,5975
2018-11-30,6204
2018-10-31,6267
2018-09-30,6758
2018-08-31,6681
2018-07-31,7001
2018-06-30,7056
2018-05-31,7646
2018-04-30,7650
2018-03-31,7965
2018-02-28,8272
2018-01-31,8601
2017-12-31,7953
2017-11-30,7915
2017-10-31,8131
2017-09-30,7894
2017-08-31,7772
2017-07-31,7398
2017-06-30,7393
2017-05-31,6789
2017-04-30,6695
2017-03-31,6563
2017-02-28,6667
2017-01-31,6749
2016-12-31,6763
2016-11-30,7056
2016-10-31,6535
2016-09-30,6284
2016-08-31,6428
2016-07-31,6316
2016-06-30,6311
2016-05-31,6538
2016-04-30,6465
2016-03-31,6568
2016-02-29,6204
2016-01-31,6185
2015-12-31,7608
2015-11-30,7284
2015-10-31,7091
2015-09-30,6773
2015-08-31,6587
2015-07-31,8060
2015-06-30,8869
2015-05-31,9860
2015-04-30,9014
2015-03-31,8172
2015-02-28,6951
2015-01-31,6686
2014-12-31,6713
2014-11-30,5516
2014-10-31,4754
2014-09-30,4632
2014-08-31,4277
2014-07-31,4272
2014-06-30,3839
2014-05-31,3879
2014-04-30,3884
