날짜,종가
2026-06-30,16565
2026-05-31,18730
2026-04-30,19855
2026-03-31,18155
2026-02-28,21100
2026-01-31,20500
2025-12-31,15430
2025-11-30,15900
2025-10-31,15365
2025-09-30,13950
2025-08-31,13260
2025-07-31,13445
2025-06-30,12650
2025-05-31,11905
2025-04-30,11645
2025-03-31,11141
2025-02-28,12591
2025-01-31,12273
2024-12-31,11236
2024-11-30,11306
2024-10-31,12666
2024-09-30,12821
2024-08-31,12861
2024-07-31,13329
2024-06-30,13543
2024-05-31,13239
2024-04-30,14345
2024-03-31,15096
2024-02-29,13917
2024-01-31,12374
2023-12-31,13872
2023-11-30,13076
2023-10-31,11394
2023-09-30,13146
2023-08-31,14708
2023-07-31,15380
2023-06-30,13126
2023-05-31,13001
2023-04-30,12911
2023-03-31,12478
2023-02-28,11318
2023-01-31,10134
2022-12-31,9554
2022-11-30,10233
2022-10-31,9945
2022-09-30,9450
2022-08-31,11294
2022-07-31,11289
2022-06-30,10377
2022-05-31,12389
2022-04-30,12334
2022-03-31,12939
2022-02-28,12239
2022-01-31,12155
2021-12-31,14850
2021-11-30,14229
2021-10-31,14136
2021-09-30,14452
2021-08-31,14822
2021-07-31,14239
2021-06-30,14362
2021-05-31,13796
2021-04-30,13806
2021-03-31,13956
2021-02-28,13335
2021-01-31,14067
2020-12-31,15087
2020-11-30,13237
2020-10-31,11802
2020-09-30,12900
2020-08-31,13111
2020-07-31,12413
2020-06-30,11344
2020-05-31,10621
2020-04-30,9699
2020-03-31,8954
2020-02-29,9083
2020-01-31,9348
2019-12-31,10041
2019-11-30,9180
2019-10-31,9836
2019-09-30,8687
2019-08-31,8620
2019-07-31,9127
2019-06-30,9792
2019-05-31,10399
2019-04-30,11644
2019-03-31,11550
2019-02-28,11951
2019-01-31,11483
2018-12-31,11236
2018-11-30,11380
2018-10-31,10745
2018-09-30,13472
2018-08-31,13164
2018-07-31,12131
2018-06-30,13245
2018-05-31,14169
2018-04-30,14207
2018-03-31,14792
2018-02-28,14621
2018-01-31,15954
2017-12-31,13528
2017-11-30,12875
2017-10-31,11413
2017-09-30,10247
2017-08-31,9806
2017-07-31,9593
2017-06-30,9764
2017-05-31,9341
2017-04-30,8920
2017-03-31,8705
2017-02-28,8653
2017-01-31,8549
2016-12-31,8798
2016-11-30,8376
2016-10-31,8816
2016-09-30,9470
2016-08-31,9347
2016-07-31,9906
2016-06-30,9690
2016-05-31,9976
2016-04-30,9971
2016-03-31,10056
2016-02-29,9767
2016-01-31,10553
2015-12-31,10304
2015-11-30,10271
2015-10-31,9957
