날짜,종가
2026-06-30,40560
2026-05-31,37960
2026-04-30,32955
2026-03-31,29430
2026-02-28,32830
2026-01-31,30140
2025-12-31,27890
2025-11-30,28375
2025-10-31,29121
2025-09-30,25411
2025-08-31,24107
2025-07-31,22932
2025-06-30,22477
2025-05-31,21697
2025-04-30,21258
2025-03-31,20724
2025-02-28,21356
2025-01-31,22048
2024-12-31,22107
2024-11-30,20978
2024-10-31,21071
2024-09-30,20542
2024-08-31,21056
2024-07-31,20934
2024-06-30,20200
2024-05-31,20263
2024-04-30,20107
2024-03-31,21183
2024-02-29,20606
2024-01-31,19304
2023-12-31,18109
2023-11-30,17306
2023-10-31,16351
2023-09-30,17379
2023-08-31,17432
2023-07-31,17587
2023-06-30,17664
2023-05-31,16974
2023-04-30,16505
2023-03-31,15665
2023-02-28,15197
2023-01-31,14704
2022-12-31,14096
2022-11-30,15318
2022-10-31,15284
2022-09-30,14570
2022-08-31,15439
2022-07-31,15530
2022-06-30,14385
2022-05-31,15134
2022-04-30,15149
2022-03-31,15699
2022-02-28,15738
2022-01-31,15820
2021-12-31,16886
2021-11-30,16397
2021-10-31,16812
2021-09-30,17805
2021-08-31,16807
2021-07-31,16320
2021-06-30,16564
2021-05-31,16641
2021-04-30,16641
2021-03-31,16807
2021-02-28,17352
2021-01-31,16769
2020-12-31,16258
2020-11-30,15868
2020-10-31,14005
2020-09-30,14585
2020-08-31,14541
2020-07-31,13925
2020-06-30,13882
2020-05-31,14090
2020-04-30,12717
2020-03-31,11886
2020-02-29,13084
2020-01-31,14028
2019-12-31,13965
2019-11-30,13958
2019-10-31,13582
2019-09-30,13405
2019-08-31,12911
2019-07-31,12939
2019-06-30,12613
2019-05-31,12427
2019-04-30,12841
2019-03-31,11989
2019-02-28,11850
2019-01-31,11636
2018-12-31,11008
2018-11-30,12116
2018-10-31,12012
2018-09-30,12909
2018-08-31,12496
2018-07-31,12349
2018-06-30,12167
2018-05-31,11949
2018-04-30,11983
2018-03-31,11697
2018-02-28,12062
2018-01-31,12291
2017-12-31,11738
2017-11-30,11844
2017-10-31,11738
2017-09-30,11141
2017-08-31,10703
2017-07-31,10832
2017-06-30,10963
2017-05-31,10609
2017-04-30,10494
2017-03-31,10112
2017-02-28,10253
2017-01-31,10335
2016-12-31,10541
2016-11-30,10089
2016-10-31,10007
2016-09-30,9460
2016-08-31,9578
2016-07-31,9363
2016-06-30,9182
2016-05-31,9632
2016-04-30,9159
2016-03-31,9050
