날짜,종가
2026-06-30,19435
2026-05-31,23705
2026-04-30,28625
2026-03-31,24780
2026-02-28,15340
2026-01-31,14965
2025-12-31,13455
2025-11-30,13640
2025-10-31,13895
2025-09-30,14505
2025-08-31,14685
2025-07-31,15735
2025-06-30,14455
2025-05-31,13195
2025-04-30,12855
2025-03-31,14810
2025-02-28,14805
2025-01-31,15500
2024-12-31,14700
2024-11-30,14310
2024-10-31,14245
2024-09-30,14065
2024-08-31,15340
2024-07-31,15070
2024-06-30,16045
2024-05-31,15095
2024-04-30,15875
2024-03-31,15795
2024-02-29,14850
2024-01-31,14620
2023-12-31,13980
2023-11-30,14810
2023-10-31,15620
2023-09-30,16870
2023-08-31,14960
2023-07-31,14620
2023-06-30,12695
2023-05-31,12635
2023-04-30,13665
2023-03-31,13465
2023-02-28,13830
2023-01-31,14120
2022-12-31,14315
2022-11-30,14430
2022-10-31,15750
2022-09-30,14475
2022-08-31,16405
2022-07-31,17035
2022-06-30,18725
2022-05-31,19955
2022-04-30,17505
2022-03-31,16870
2022-02-28,15380
2022-01-31,13670
2021-12-31,11950
2021-11-30,10650
2021-10-31,12665
2021-09-30,11415
2021-08-31,10515
2021-07-31,11060
2021-06-30,11030
2021-05-31,10030
2021-04-30,9675
2021-03-31,9140
2021-02-28,9430
2021-01-31,7810
2020-12-31,7260
2020-11-30,6760
2020-10-31,5540
2020-09-30,6270
2020-08-31,6770
2020-07-31,6380
2020-06-30,6255
2020-05-31,5380
2020-04-30,3385
2020-03-31,7215
2020-02-29,15500
2020-01-31,18390
2019-12-31,21395
2019-11-30,20035
2019-10-31,19100
2019-09-30,19390
2019-08-31,19415
2019-07-31,20230
2019-06-30,20440
2019-05-31,19540
2019-04-30,22130
2019-03-31,20845
2019-02-28,19950
2019-01-31,19320
2018-12-31,16375
2018-11-30,18505
2018-10-31,23895
2018-09-30,25975
2018-08-31,25180
2018-07-31,24760
2018-06-30,25505
2018-05-31,23645
2018-04-30,23535
2018-03-31,22390
2018-02-28,21660
2018-01-31,22005
2017-12-31,20535
2017-11-30,19805
2017-10-31,18730
2017-09-30,17980
2017-08-31,16210
2017-07-31,17600
2017-06-30,16055
2017-05-31,17590
2017-04-30,17815
2017-03-31,18140
2017-02-28,19905
2017-01-31,19460
2016-12-31,20300
