날짜,종가
2026-06-30,49650
2026-05-31,48515
2026-04-30,36165
2026-03-31,27090
2026-02-28,33910
2026-01-31,27795
2025-12-31,21890
2025-11-30,20015
2025-10-31,20860
2025-09-30,17045
2025-08-31,15455
2025-07-31,15710
2025-06-30,14860
2025-05-31,12885
2025-04-30,12105
2025-03-31,11915
2025-02-28,11885
2025-01-31,11780
2024-12-31,11250
2024-11-30,11450
2024-10-31,11945
2024-09-30,12140
2024-08-31,12680
2024-07-31,13335
2024-06-30,13395
2024-05-31,12525
2024-04-30,12750
2024-03-31,13025
2024-02-29,12345
2024-01-31,11635
2023-12-31,12395
2023-11-30,11650
2023-10-31,10505
2023-09-30,11240
2023-08-31,11480
2023-07-31,11820
2023-06-30,11580
2023-05-31,11590
2023-04-30,11120
2023-03-31,10985
2023-02-28,10720
2023-01-31,10825
2022-12-31,9925
2022-11-30,10790
2022-10-31,10050
2022-09-30,9435
2022-08-31,10770
2022-07-31,10820
2022-06-30,10280
2022-05-31,11890
2022-04-30,11820
2022-03-31,12180
2022-02-28,12010
2022-01-31,11910
2021-12-31,13080
2021-11-30,12275
2021-10-31,12775
2021-09-30,13180
2021-08-31,13735
2021-07-31,13885
2021-06-30,14385
2021-05-31,14000
2021-04-30,13835
2021-03-31,13575
2021-02-28,13425
2021-01-31,13220
2020-12-31,12690
2020-11-30,11135
2020-10-31,9670
2020-09-30,9950
2020-08-31,9860
2020-07-31,9595
2020-06-30,9000
2020-05-31,8610
2020-04-30,8260
2020-03-31,7580
2020-02-29,8585
2020-01-31,9095
2019-12-31,9390
2019-11-30,8725
2019-10-31,8700
2019-09-30,8610
2019-08-31,8140
2019-07-31,8370
2019-06-30,8730
2019-05-31,8285
2019-04-30,8915
2019-03-31,8655
2019-02-28,8860
2019-01-31,8930
2018-12-31,8195
2018-11-30,8345
2018-10-31,8095
2018-09-30,9225
2018-08-31,9150
2018-07-31,9120
2018-06-30,9170
2018-05-31,9505
2018-04-30,9855
2018-03-31,9625
2018-02-28,9530
2018-01-31,10165
2017-12-31,9895
2017-11-30,9800
