날짜,종가
2026-06-30,18325
2026-05-31,17495
2026-04-30,16770
2026-03-31,15930
2026-02-28,15900
2026-01-31,15695
2025-12-31,15370
2025-11-30,15047
2025-10-31,14967
2025-09-30,14678
2025-08-31,14030
2025-07-31,12591
2025-06-30,11771
2025-05-31,11673
2025-04-30,11629
2025-03-31,12407
2025-02-28,12349
2025-01-31,12192
2024-12-31,12848
2024-11-30,11884
2024-10-31,11913
2024-09-30,11792
2024-08-31,9886
2024-07-31,10243
2024-06-30,10176
2024-05-31,10610
2024-04-30,10658
2024-03-31,10128
2024-02-29,9941
2024-01-31,9259
2023-12-31,9568
2023-11-30,9741
2023-10-31,10337
2023-09-30,10722
2023-08-31,10647
2023-07-31,11151
2023-06-30,10826
2023-05-31,10863
2023-04-30,11934
2023-03-31,11821
2023-02-28,11821
2023-01-31,11713
2022-12-31,10863
2022-11-30,10896
2022-10-31,10557
2022-09-30,11783
2022-08-31,12198
2022-07-31,12331
2022-06-30,13315
2022-05-31,11500
2022-04-30,11529
2022-03-31,12263
2022-02-28,13216
2022-01-31,13259
2021-12-31,13990
2021-11-30,13667
2021-10-31,13655
2021-09-30,13500
2021-08-31,13085
2021-07-31,12887
2021-06-30,13739
2021-05-31,13956
2021-04-30,13226
2021-03-31,13046
2021-02-28,14003
2021-01-31,13664
2020-12-31,12712
2020-11-30,12565
2020-10-31,11859
2020-09-30,11806
2020-08-31,12481
2020-07-31,11897
2020-06-30,10373
2020-05-31,9732
2020-04-30,9708
2020-03-31,9185
2020-02-29,10087
2020-01-31,9392
2019-12-31,9912
2019-11-30,9407
2019-10-31,9450
2019-09-30,9487
2019-08-31,9365
2019-07-31,9653
2019-06-30,9275
2019-05-31,9050
2019-04-30,9732
2019-03-31,9345
2019-02-28,8836
2019-01-31,7686
2018-12-31,7126
2018-11-30,7391
2018-10-31,7479
2018-09-30,7987
2018-08-31,7914
2018-07-31,8318
2018-06-30,8479
2018-05-31,9119
2018-04-30,9045
2018-03-31,9459
2018-02-28,9855
2018-01-31,10307
2017-12-31,9468
