날짜,종가
2026-06-30,14005
2026-05-31,13540
2026-04-30,13335
2026-03-31,13855
2026-02-28,13270
2026-01-31,13010
2025-12-31,13150
2025-11-30,13510
2025-10-31,12957
2025-09-30,12723
2025-08-31,12569
2025-07-31,12375
2025-06-30,12091
2025-05-31,12186
2025-04-30,12718
2025-03-31,13111
2025-02-28,12927
2025-01-31,12609
2024-12-31,12703
2024-11-30,12265
2024-10-31,12081
2024-09-30,11827
2024-08-31,11982
2024-07-31,12131
2024-06-30,11962
2024-05-31,11837
2024-04-30,11743
2024-03-31,11723
2024-02-29,11509
2024-01-31,11728
2023-12-31,11429
2023-11-30,11106
2023-10-31,11195
2023-09-30,11394
2023-08-31,11389
2023-07-31,11026
2023-06-30,11464
2023-05-31,11728
2023-04-30,11967
2023-03-31,11574
2023-02-28,11454
2023-01-31,10966
2022-12-31,11046
2022-11-30,11544
2022-10-31,12270
2022-09-30,12449
2022-08-31,12156
2022-07-31,12215
2022-06-30,11842
2022-05-31,11444
2022-04-30,11613
2022-03-31,11544
2022-02-28,11842
2022-01-31,11937
2021-12-31,12091
2021-11-30,12126
2021-10-31,11802
2021-09-30,12051
2021-08-31,11987
2021-07-31,11927
2021-06-30,11464
2021-05-31,11265
2021-04-30,11200
2021-03-31,11345
2021-02-28,11414
2021-01-31,11688
2020-12-31,11409
2020-11-30,11643
2020-10-31,11952
2020-09-30,12449
2020-08-31,12559
2020-07-31,12718
2020-06-30,12778
2020-05-31,13151
2020-04-30,12922
2020-03-31,12842
2020-02-29,12325
2020-01-31,11797
2019-12-31,11220
2019-11-30,11519
2019-10-31,11355
2019-09-30,11713
2019-08-31,12011
2019-07-31,11350
2019-06-30,11111
2019-05-31,11305
2019-04-30,10867
2019-03-31,10593
2019-02-28,10315
2019-01-31,10175
2018-12-31,10145
2018-11-30,10011
2018-10-31,10111
2018-09-30,9847
2018-08-31,10001
