날짜,종가
2026-06-30,32300
2026-05-31,31245
2026-04-30,29945
2026-03-31,29630
2026-02-28,31095
2026-01-31,30465
2025-12-31,30571
2025-11-30,30362
2025-10-31,28906
2025-09-30,27793
2025-08-31,27480
2025-07-31,27639
2025-06-30,25569
2025-05-31,24997
2025-04-30,24500
2025-03-31,25937
2025-02-28,26981
2025-01-31,28298
2024-12-31,27792
2024-11-30,27348
2024-10-31,26239
2024-09-30,25187
2024-08-31,25153
2024-07-31,25075
2024-06-30,23992
2024-05-31,23827
2024-04-30,23978
2024-03-31,24040
2024-02-29,22947
2024-01-31,22573
2023-12-31,21866
2023-11-30,20153
2023-10-31,19019
2023-09-30,20053
2023-08-31,20933
2023-07-31,20895
2023-06-30,20657
2023-05-31,19607
2023-04-30,19598
2023-03-31,18667
2023-02-28,18526
2023-01-31,17286
2022-12-31,16028
2022-11-30,17253
2022-10-31,18004
2022-09-30,17166
2022-08-31,17818
2022-07-31,17725
2022-06-30,16268
2022-05-31,16974
2022-04-30,17667
2022-03-31,18065
2022-02-28,17107
2022-01-31,17248
2021-12-31,18022
2021-11-30,17228
2021-10-31,17325
2021-09-30,17228
2021-08-31,17482
2021-07-31,16863
2021-06-30,16361
2021-05-31,15969
2021-04-30,15801
2021-03-31,15370
2021-02-28,14628
2021-01-31,13581
2020-12-31,13230
2020-11-30,13020
2020-10-31,11528
2020-09-30,12498
2020-08-31,13161
2020-07-31,12483
2020-06-30,12065
2020-05-31,12459
2020-04-30,11724
2020-03-31,10568
2020-02-29,11982
2020-01-31,12741
2019-12-31,12532
2019-11-30,12518
2019-10-31,11859
2019-09-30,11583
2019-08-31,11304
2019-07-31,11548
2019-06-30,10768
2019-05-31,10558
2019-04-30,11061
2019-03-31,10265
2019-02-28,10241
2019-01-31,9641
2018-12-31,8940
2018-11-30,9855
2018-10-31,9655
