날짜,종가
2026-07-31,4015
2026-06-30,3935
2026-05-31,4043
2026-04-30,4562
2026-03-31,4427
2026-02-28,4471
2026-01-31,4326
2025-12-31,4229
2025-11-30,4187
2025-10-31,4125
2025-09-30,4055
2025-08-31,3951
2025-07-31,3901
2025-06-30,3858
2025-05-31,3841
2025-04-30,3857
2025-03-31,3755
2025-02-28,3785
2025-01-31,3565
2024-12-31,3538
2024-11-30,3646
2024-10-31,3742
2024-09-30,3933
2024-08-31,4049
2024-07-31,4118
2024-06-30,3897
2024-05-31,3857
2024-04-30,3724
2024-03-31,3795
2024-02-29,3632
2024-01-31,3536
2023-12-31,3559
2023-11-30,3474
2023-10-31,3297
2023-09-30,3495
2023-08-31,3587
2023-07-31,3549
2023-06-30,3713
2023-05-31,3787
2023-04-30,3541
2023-03-31,3563
2023-02-28,3712
2023-01-31,3708
2022-12-31,3598
2022-11-30,3484
2022-10-31,3266
2022-09-30,3801
2022-08-31,4087
2022-07-31,4041
2022-06-30,4158
2022-05-31,4659
2022-04-30,4749
2022-03-31,4506
2022-02-28,4339
2022-01-31,4184
2021-12-31,4358
2021-11-30,4210
2021-10-31,4328
2021-09-30,4226
2021-08-31,4164
2021-07-31,4134
2021-06-30,4201
2021-05-31,4153
2021-04-30,3967
2021-03-31,3739
2021-02-28,3420
2021-01-31,3358
2020-12-31,3382
2020-11-30,3296
2020-10-31,3148
2020-09-30,3069
2020-08-31,3010
2020-07-31,2988
2020-06-30,3007
2020-05-31,3115
2020-04-30,2946
2020-03-31,2765
2020-02-29,3010
2020-01-31,3285
2019-12-31,3476
2019-11-30,3509
2019-10-31,3519
2019-09-30,3468
2019-08-31,3292
2019-07-31,3312
