날짜,종가
2026-07-31,91605
2026-06-30,104013
2026-05-31,100072
2026-04-30,96793
2026-03-31,99382
2026-02-28,97079
2026-01-31,94924
2025-12-31,95625
2025-11-30,98274
2025-10-31,95564
2025-09-30,93448
2025-08-31,89954
2025-07-31,89034
2025-06-30,85744
2025-05-31,85831
2025-04-30,90194
2025-03-31,93749
2025-02-28,94364
2025-01-31,90897
2024-12-31,91631
2024-11-30,90586
2024-10-31,88729
2024-09-30,87899
2024-08-31,88035
2024-07-31,87353
2024-06-30,86227
2024-05-31,83799
2024-04-30,83661
2024-03-31,85335
2024-02-29,82761
2024-01-31,85857
2023-12-31,85027
2023-11-30,78765
2023-10-31,73914
2023-09-30,78180
2023-08-31,80552
2023-07-31,79433
2023-06-30,82138
2023-05-31,81119
2023-04-30,85534
2023-03-31,81143
2023-02-28,80773
2023-01-31,79613
2022-12-31,76819
2022-11-30,81207
2022-10-31,80509
2022-09-30,83628
2022-08-31,87132
2022-07-31,87563
2022-06-30,83896
2022-05-31,84281
2022-04-30,84696
2022-03-31,88502
2022-02-28,90470
2022-01-31,95108
2021-12-31,99392
2021-11-30,97662
2021-10-31,97586
2021-09-30,97512
2021-08-31,97859
2021-07-31,97228
2021-06-30,92734
2021-05-31,88665
2021-04-30,87951
2021-03-31,87333
2021-02-28,88880
2021-01-31,93978
2020-12-31,94213
2020-11-30,95875
2020-10-31,95099
2020-09-30,98943
2020-08-31,98925
2020-07-31,105804
2020-06-30,100941
2020-05-31,101308
2020-04-30,101376
2020-03-31,95823
2020-02-29,99282
2020-01-31,94921
2019-12-31,89569
2019-11-30,91246
2019-10-31,88373
2019-09-30,91273
2019-08-31,94308
