날짜,종가
2026-07-31,26545
2026-06-30,28570
2026-05-31,28230
2026-04-30,26096
2026-03-31,24229
2026-02-28,24448
2026-01-31,24557
2025-12-31,24567
2025-11-30,24776
2025-10-31,24101
2025-09-30,23007
2025-08-31,22210
2025-07-31,21903
2025-06-30,20568
2025-05-31,19986
2025-04-30,19323
2025-03-31,19983
2025-02-28,21011
2025-01-31,21650
2024-12-31,21502
2024-11-30,20494
2024-10-31,19504
2024-09-30,18287
2024-08-31,18262
2024-07-31,18359
2024-06-30,18423
2024-05-31,17616
2024-04-30,17154
2024-03-31,17393
2024-02-29,16394
2024-01-31,15885
2023-12-31,14969
2023-11-30,14244
2023-10-31,13555
2023-09-30,13978
2023-08-31,14423
2023-07-31,14061
2023-06-30,13968
2023-05-31,13360
2023-04-30,13289
2023-03-31,12664
2023-02-28,12645
2023-01-31,11860
2022-12-31,11476
2022-11-30,12499
2022-10-31,13253
2022-09-30,12485
2022-08-31,12825
2022-07-31,12714
2022-06-30,11709
2022-05-31,12272
2022-04-30,12789
2022-03-31,13314
2022-02-28,12277
2022-01-31,12475
2021-12-31,13522
2021-11-30,12991
2021-10-31,12669
2021-09-30,12325
2021-08-31,12455
2021-07-31,11938
2021-06-30,11449
2021-05-31,11048
2021-04-30,11010
2021-03-31,10588
2021-02-28,10140
2021-01-31,9872
2020-12-31,9577
2020-11-30,9378
2020-10-31,8645
2020-09-30,9248
2020-08-31,9810
