날짜,종가
2026-08-31,6900
2026-07-31,7505
2026-06-30,7565
2026-05-31,8078
2026-04-30,7899
2026-03-31,7759
2026-02-28,8077
2026-01-31,8981
2025-12-31,8853
2025-11-30,9066
2025-10-31,9313
2025-09-30,9884
2025-08-31,8694
2025-07-31,8258
2025-06-30,7853
2025-05-31,7759
2025-04-30,7948
2025-03-31,8656
2025-02-28,8942
2025-01-31,7725
2024-12-31,7312
2024-11-30,6631
2024-10-31,6898
2024-09-30,6838
2024-08-31,5247
2024-07-31,5307
2024-06-30,5351
2024-05-31,5666
2024-04-30,5576
2024-03-31,5145
2024-02-29,4967
2024-01-31,4352
2023-12-31,5317
2023-11-30,5470
2023-10-31,5586
2023-09-30,5691
2023-08-31,5996
2023-07-31,6391
2023-06-30,5606
2023-05-31,5145
2023-04-30,5691
2023-03-31,6051
2023-02-28,5666
2023-01-31,6046
2022-12-31,5716
2022-11-30,5302
2022-10-31,4460
2022-09-30,5356
2022-08-31,6228
2022-07-31,6110
2022-06-30,6808
2022-05-31,6006
2022-04-30,6001
2022-03-31,5986
2022-02-28,6671
2022-01-31,7031
2021-12-31,7094
2021-11-30,7759
2021-10-31,8204
2021-09-30,7947
2021-08-31,8311
2021-07-31,8439
2021-06-30,10138
2021-05-31,9823
2021-04-30,10197
2021-03-31,10202
2021-02-28,11182
2021-01-31,11469
2020-12-31,9917
