날짜,종가
2026-08-31,26695
2026-07-31,26875
2026-06-30,30597
2026-05-31,30158
2026-04-30,26564
2026-03-31,23386
2026-02-28,23699
2026-01-31,24361
2025-12-31,24251
2025-11-30,24549
2025-10-31,24471
2025-09-30,22793
2025-08-31,21699
2025-07-31,21639
2025-06-30,20187
2025-05-31,19373
2025-04-30,18218
2025-03-31,18475
2025-02-28,19830
2025-01-31,20692
2024-12-31,20830
2024-11-30,19116
2024-10-31,18352
2024-09-30,17140
2024-08-31,17036
2024-07-31,17217
2024-06-30,17961
2024-05-31,16799
2024-04-30,16119
2024-03-31,16199
2024-02-29,15602
2024-01-31,15159
2023-12-31,14296
2023-11-30,13538
2023-10-31,12591
2023-09-30,12872
2023-08-31,13375
2023-07-31,13099
2023-06-30,12896
2023-05-31,12374
2023-04-30,11453
2023-03-31,11000
2023-02-28,10404
2023-01-31,9531
2022-12-31,8837
2022-11-30,9885
2022-10-31,10634
2022-09-30,10414
2022-08-31,10818
2022-07-31,10868
2022-06-30,9705
2022-05-31,10226
2022-04-30,10903
2022-03-31,11907
2022-02-28,10818
2022-01-31,11078
2021-12-31,12720
2021-11-30,12557
2021-10-31,11852
2021-09-30,11409
2021-08-31,11783
2021-07-31,11073
2021-06-30,10654
2021-05-31,9861
2021-04-30,10014
