날짜,종가
2026-06-30,27405
2026-05-31,30005
2026-04-30,30340
2026-03-31,31540
2026-02-28,33530
2026-01-31,35440
2025-12-31,29005
2025-11-30,27880
2025-10-31,26495
2025-09-30,27400
2025-08-31,21495
2025-07-31,20755
2025-06-30,20100
2025-05-31,20565
2025-04-30,21415
2025-03-31,21105
2025-02-28,19815
2025-01-31,18975
2024-12-31,18155
2024-11-30,17125
2024-10-31,18190
2024-09-30,15920
2024-08-31,15425
2024-07-31,15325
2024-06-30,14705
2024-05-31,14905
2024-04-30,14800
2024-03-31,14240
2024-02-29,12465
2024-01-31,12500
2023-12-31,12330
2023-11-30,12120
2023-10-31,12350
2023-09-30,11835
2023-08-31,11855
2023-07-31,11485
2023-06-30,11630
2023-05-31,11975
2023-04-30,12205
2023-03-31,11850
2023-02-28,11010
2023-01-31,10940
2022-12-31,10710
2022-11-30,10745
2022-10-31,10850
2022-09-30,10900
2022-08-31,10685
2022-07-31,10605
2022-06-30,10980
2022-05-31,10715
2022-04-30,11185
2022-03-31,10910
2022-02-28,10675
2022-01-31,10235
2021-12-31,10095
