날짜,종가
2026-07-31,12070
2026-06-30,13046
2026-05-31,12413
2026-04-30,12329
2026-03-31,12105
2026-02-28,13189
2026-01-31,13084
2025-12-31,13738
2025-11-30,14274
2025-10-31,13678
2025-09-30,12867
2025-08-31,12842
2025-07-31,12957
2025-06-30,13307
2025-05-31,13218
2025-04-30,13440
2025-03-31,13193
2025-02-28,12268
2025-01-31,12993
2024-12-31,13594
2024-11-30,13122
2024-10-31,13166
2024-09-30,13377
2024-08-31,13304
2024-07-31,13558
2024-06-30,13198
2024-05-31,12398
2024-04-30,12384
2024-03-31,11877
2024-02-29,11707
2024-01-31,11576
2023-12-31,11285
2023-11-30,10282
2023-10-31,10277
2023-09-30,10619
2023-08-31,10292
2023-07-31,10189
2023-06-30,10252
2023-05-31,9896
2023-04-30,9760
