날짜,종가
2026-07-31,25780
2026-06-30,24456
2026-05-31,24094
2026-04-30,25990
2026-03-31,23737
2026-02-28,26851
2026-01-31,22475
2025-12-31,20861
2025-11-30,20355
2025-10-31,19098
2025-09-30,19225
2025-08-31,18404
2025-07-31,18470
2025-06-30,17442
2025-05-31,15578
2025-04-30,14095
2025-03-31,13092
2025-02-28,13159
2025-01-31,13545
2024-12-31,12559
2024-11-30,13816
2024-10-31,12958
2024-09-30,12637
2024-08-31,12904
2024-07-31,13122
2024-06-30,12135
2024-05-31,11852
2024-04-30,11618
2024-03-31,11335
2024-02-29,10955
2024-01-31,9562
2023-12-31,9090
2023-11-30,8841
2023-10-31,8416
