날짜,종가
2026-06-30,54040
2026-05-31,53915
2026-04-30,53795
2026-03-31,53620
2026-02-28,53490
2026-01-31,53355
2025-12-31,53210
2025-11-30,53055
2025-10-31,52962
2025-09-30,52849
2025-08-31,52736
2025-07-31,52617
2025-06-30,52485
2025-05-31,52357
2025-04-30,52219
2025-03-31,52052
2025-02-28,51919
2025-01-31,51776
2024-12-31,51609
2024-11-30,51446
2024-10-31,51289
2024-09-30,51116
2024-08-31,50964
2024-07-31,50797
2024-06-30,50639
2024-05-31,50491
2024-04-30,50319
2024-03-31,50147
2024-02-29,49980
2024-01-31,49793
2023-12-31,49620
2023-11-30,49409
