날짜,종가,시가,고가,저가,변동 %
2026-01-01,14.95,14.95,14.95,14.95,0.00%
2026-01-02,14.51,14.85,15.42,14.46,-2.94%
2026-01-05,14.9,15.14,15.27,14.65,2.69%
2026-01-06,14.75,15,15.21,14.63,-1.01%
2026-01-07,15.38,14.95,15.48,14.83,4.27%
2026-01-08,15.45,15.69,15.85,15.15,0.46%
2026-01-09,14.49,15.68,15.81,14.43,-6.21%
2026-01-12,15.12,16.06,16.66,15.03,4.35%
2026-01-13,15.98,15.36,16.5,14.75,5.69%
2026-01-14,16.75,16.33,18.1,16.22,4.82%
2026-01-15,15.84,16.52,16.54,15.3,-5.43%
2026-01-16,15.86,15.44,16.29,15.3,0.13%
2026-01-19,18.84,18.63,19.59,18.28,18.79%
2026-01-20,20.09,19.94,20.99,18.64,6.63%
2026-01-21,16.9,19.31,20.81,16.67,-15.88%
2026-01-22,15.64,16.65,16.67,15.27,-7.46%
2026-01-23,16.09,15.68,16.21,15.3,2.88%
2026-01-26,16.15,16.9,17.39,15.8,0.37%
2026-01-27,16.35,16.02,16.37,15.74,1.24%
2026-01-28,16.35,16.09,17.18,16.05,0.00%
2026-01-29,16.88,16.04,19.74,16.02,3.24%
2026-01-30,17.44,18.72,19.27,16.67,3.32%
2026-02-02,16.34,19.95,19.96,16.08,-6.31%
2026-02-03,18,16.16,20.37,16.05,10.16%
2026-02-04,18.64,17.63,21.24,17.47,3.56%
2026-02-05,21.77,19.24,23.1,19.06,16.79%
2026-02-06,17.76,21.24,21.49,17.27,-18.42%
2026-02-09,17.36,17.95,19.2,16.9,-2.25%
2026-02-10,17.79,17.47,17.97,17.14,2.48%
2026-02-11,17.65,17.87,18.96,16.75,-0.79%
2026-02-12,20.82,17.44,21.21,17.08,17.96%
2026-02-13,20.6,21.48,22.4,18.92,-1.06%
2026-02-16,21.2,20.73,21.62,20.37,2.91%
2026-02-17,20.29,21.74,22.96,19.76,-4.29%
2026-02-18,19.62,19.78,20.34,18.48,-3.30%
2026-02-19,20.23,19.34,21.11,19.23,3.11%
2026-02-20,19.09,20.04,21.21,18.76,-5.64%
2026-02-23,21.01,20.49,22.04,19.5,10.06%
2026-02-24,19.55,21.24,22.08,19.23,-6.95%
2026-02-25,17.93,19.59,19.62,17.86,-8.29%
2026-02-26,18.63,18.07,20.54,17.5,3.90%
2026-02-27,19.86,19.28,21.74,18.77,6.60%
2026-03-02,21.44,24.66,25.24,20.37,7.96%
2026-03-03,23.57,24.57,28.15,22.18,9.93%
2026-03-04,21.15,24.39,24.87,20.4,-10.27%
2026-03-05,23.75,22.11,25.84,20.55,12.29%
2026-03-06,29.49,23.2,29.93,22.92,24.17%
2026-03-09,25.5,35.12,35.3,24.76,-13.53%
2026-03-10,24.93,24.39,26.01,22.19,-2.24%
2026-03-11,24.23,24.9,26.23,23.75,-2.81%
2026-03-12,27.29,25.48,27.33,24.6,12.63%
2026-03-13,27.19,27.85,28.47,24.67,-0.37%
2026-03-16,23.51,25.88,26.42,23.23,-13.53%
2026-03-17,22.37,24.56,24.58,21.87,-4.85%
2026-03-18,25.09,21.51,25.13,21.47,12.16%
2026-03-19,24.06,25.6,27.52,23.54,-4.11%
2026-03-20,26.78,24.46,29.28,23.68,11.31%
2026-03-23,26.15,30.04,31.04,20.28,-2.35%
2026-03-24,26.95,25.91,27.94,25.64,3.06%
2026-03-25,25.33,25.79,26.67,24.82,-6.01%
2026-03-26,27.44,26.49,28.49,26.12,8.33%
2026-03-27,31.05,27.54,31.65,27.54,13.16%
2026-03-30,30.61,30.79,31.52,29.33,-1.42%
2026-03-31,25.25,29.53,29.64,25.08,-17.51%
2026-04-01,24.54,24.3,25.35,23.5,-2.81%
2026-04-02,23.87,26.78,27.89,23.87,-2.73%
2026-04-03,23.87,23.87,23.87,23.87,0.00%
2026-04-06,24.17,24.93,25.3,23.78,1.26%
2026-04-07,25.78,25.09,28,24.34,6.66%
2026-04-08,21.04,20.97,22.17,19.91,-18.39%
2026-04-09,19.49,21.25,21.63,19.45,-7.37%
2026-04-10,19.23,19.71,20.28,18.83,-1.33%
2026-04-13,19.12,21.17,21.58,18.96,-0.57%
2026-04-14,18.36,18.73,18.76,17.89,-3.97%
2026-04-15,18.17,18.18,18.5,17.4,-1.03%
2026-04-16,17.94,18.04,19.09,17.76,-1.27%
2026-04-17,17.48,18.18,18.24,16.87,-2.56%
2026-04-20,18.87,19.58,19.99,18.77,7.95%
2026-04-21,19.5,19.18,20.85,18.75,3.34%
2026-04-22,18.92,19.03,19.54,18.68,-2.97%
2026-04-23,19.31,19.42,21.56,18.7,2.06%
2026-04-24,18.71,18.89,19.35,18.46,-3.11%
2026-04-27,18.02,19.21,19.27,18.02,-3.69%
2026-04-28,17.83,18.3,19.43,17.78,-1.05%
2026-04-29,17.98,17.84,18.12,17.81,0.84%
