종목코드,종목명,매수단가,수량
328380,솔트웨어,\897,"5,651"
48830,엔피케이,"\1,053","4,366"
65060,지엔코,\734,"7,762"
225590,패션플랫폼,\884,"5,098"
69640,한세엠케이,\624,"7,374"
353190,휴럼,\686,"7,086"
,,,
123840,뉴온,\566,"4,234"
131180,딜리,\976,"2,534"
333050,모코엠시스,"\1,226","1,875"
290520,신도기연,"\1,899","1,105"
32080,아즈텍WB,"\1,300","1,752"
92600,앤씨앤,\868,"2,614"
121890,에스디시스템,"\1,650","1,277"
275630,에스에스알,"\3,879",592
96870,엘디티,"\2,204","1,011"
273060,와이즈버즈,\831,"2,527"
18620,우진비앤지,\722,"3,138"
389680,유디엠텍,\533,"4,469"
344860,이노진,"\1,525","1,490"
17250,인터엠,"\1,080","2,242"
140430,카티스,\631,"3,567"
51780,큐로홀딩스,\925,"3,206"
139670,키네마스터,"\1,816","1,233"
290560,파라택시스이더리움,"\1,723","1,320"
