종목코드,종목명,매수단가,수량
31510,오스템,"\1,017","1,897"
84440,유비온,"\1,026","1,882"
,,,
,,,
88130,동아엘텍,"\3,738",266
263690,디알젬,"\5,378",185
348030,모비릭스,"\3,309",344
46310,백금T&A,"\3,303",235
14470,부방,"\1,310",759
54090,삼진엘앤디,\809,"1,228"
258790,소프트캠프,"\1,280",721
115480,씨유메디칼,\572,"1,709"
60540,에스에이티,"\1,439",696
96870,엘디티,"\2,748",400
265560,영화테크,"\7,189",119
440320,오픈놀,"\3,663",273
153490,우리이앤엘,\650,"1,487"
303530,이노뎁,"\5,406",188
215790,이노인스트루먼트,\676,"1,704"
67010,이씨에스,"\2,332",416
17250,인터엠,"\1,063",975
33050,제이엠아이,\805,"1,208"
420570,제이투케이바이오,"\8,166",122
13870,지엠비코리아,"\3,871",213
139670,키네마스터,"\2,317",429
150900,파수,"\3,926",255
70590,인티큐브,"\1,976",507
378850,화승알앤에이,"\3,482",276
290270,휴네시온,"\3,709",254
353190,휴럼,\705,"1,467"
