종목코드,종목명,매수단가,수량
59100,아이컴포넌트,"\4,855",440
17250,인터엠,"\1,045","2,116"
,,,
,,,
35460,기산텔레콤,"\1,892",580
20180,대신정보통신,\983,"1,120"
333050,모코엠시스,"\1,410",899
452200,민테크,"\2,356",470
267790,배럴,"\3,525",311
54090,삼진엘앤디,\809,"1,356"
252500,세화피앤씨,\795,"1,384"
290560,신시웨이,"\6,296",131
115480,씨유메디칼,\573,"1,885"
90150,아이윈,\726,"1,513"
397810,애드포러스,"\8,449",130
60540,에스에이티,"\1,444",757
31510,오스템,"\1,019","1,077"
153490,우리이앤엘,\645,"1,673"
307280,원바이오젠,"\6,558",168
84440,유비온,"\1,018","1,014"
215790,이노인스트루먼트,\600,"1,823"
134060,이퓨쳐,"\4,278",272
33050,제이엠아이,\808,"1,359"
208350,지란지교시큐리티,"\3,029",382
66360,체리부로,\720,"1,398"
318010,팜스빌,"\3,469",317
225590,패션플랫폼,\839,"1,304"
53160,프리엠스,"\6,519",169
47080,한빛소프트,"\1,172",922
353190,휴럼,\716,"1,631"
