순위,종목코드,종목명,시가총액,기준일,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),,
1,5930,삼성전자,1.89E+14,2014-01-29,,,,,5.39,,
2,5380,현대차,5.17E+13,2014-01-29,,,,,4.48,,
3,12330,현대모비스,3.02E+13,2014-01-29,,,,,1.13,,
4,660,SK하이닉스,2.69E+13,2014-01-29,,,,,2.38,,
5,5490,POSCO,2.60E+13,2014-01-29,,,,,-4.86,,
6,15760,한국전력,2.27E+13,2014-01-29,,,,,4.82,,
7,35420,NAVER,2.22E+13,2014-01-29,,,,,21.04,,
8,270,기아차,2.19E+13,2014-01-29,,,,,2.59,,
9,55550,신한지주,2.16E+13,2014-01-29,,,,,-2.63,,
10,32830,삼성생명,2.07E+13,2014-01-29,,,,,-2.42,,
11,17670,SK텔레콤,1.75E+13,2014-01-29,,,,,0,,
12,51910,LG화학,1.72E+13,2014-01-29,,,,,-2.12,,
13,9540,현대중공업,1.71E+13,2014-01-29,,,,,-2.23,,
14,105560,KB금융,1.44E+13,2014-01-29,,,,,7.26,,
15,23530,롯데쇼핑,1.19E+13,2014-01-29,,,,,-10.71,,
16,86790,하나금융지주,1.19E+13,2014-01-29,,,,,1.96,,
17,810,삼성화재,1.17E+13,2014-01-29,,,,,-5.04,,
18,96770,SK이노베이션,1.17E+13,2014-01-29,,,,,5.12,,
19,66570,LG전자,1.08E+13,2014-01-29,,,,,-7.87,,
20,33780,KT&G,1.04E+13,2014-01-29,,,,,3.3,,
21,53000,우리금융,9.95E+12,2014-01-29,-3.52,-3.52,8.81,-2.37,-2.43,,
22,3550,LG,9.92E+12,2014-01-29,,,,,-2.61,,
23,830,삼성물산,9.17E+12,2014-01-29,-0.51,-9.97,6.73,-8.71,7.16,,
24,34220,LG디스플레이,9.07E+12,2014-01-29,,,,,-3.95,,
25,4020,현대제철,8.90E+12,2014-01-29,,,,,-10.99,,
26,86280,현대글로비스,8.55E+12,2014-01-29,,,,,2.85,,
27,3600,SK,8.45E+12,2014-01-29,-4.76,-8.63,3.75,4.65,6.94,,
28,30200,KT,8.04E+12,2014-01-29,,,,,-1.46,,
29,10140,삼성중공업,7.78E+12,2014-01-29,,,,,-5.34,,
30,10950,S-Oil,7.72E+12,2014-01-29,,,,,-4.66,,
31,161390,한국타이어,7.64E+12,2014-01-29,,,,,0.81,,
32,51900,LG생활건강,7.47E+12,2014-01-29,,,,,-4.39,,
33,11170,롯데케미칼,7.25E+12,2014-01-29,,,,,-4.02,,
34,139480,이마트,7.25E+12,2014-01-29,,,,,-2.31,,
35,35250,강원랜드,7.24E+12,2014-01-29,,,,,-5.76,,
36,24110,기업은행,6.91E+12,2014-01-29,,,,,8.8,,
37,42660,대우조선해양,6.60E+12,2014-01-29,,,,,-4.78,,
38,10130,고려아연,6.57E+12,2014-01-29,,,,,-2.01,,
39,6400,삼성SDI,6.54E+12,2014-01-29,,,,,4.18,,
40,720,현대건설,6.50E+12,2014-01-29,,,,,0,,
41,88350,한화생명,6.36E+12,2014-01-29,,,,,-6.56,,
42,34730,SK C&C,6.25E+12,2014-01-29,,,,,16,,
43,36460,한국가스공사,6.15E+12,2014-01-29,,,,,4.2,,
44,90430,아모레퍼시픽,5.92E+12,2014-01-29,,,,,16.01,,
45,21240,코웨이,5.35E+12,2014-01-29,,,,,-1.59,,
46,1800,오리온,5.21E+12,2014-01-29,,,,,2.29,,
47,2380,KCC,5.12E+12,2014-01-29,,,,,5.95,,
48,9150,삼성전기,4.98E+12,2014-01-29,,,,,1.65,,
49,32640,LG유플러스,4.78E+12,2014-01-29,,,,,-4.57,,
50,78930,GS,4.77E+12,2014-01-29,,,,,-3.41,,
51,47050,대우인터내셔널,4.72E+12,2014-01-29,,,,,1.33,,
52,10060,OCI,4.53E+12,2014-01-29,,,,,8.95,,
53,36570,엔씨소프트,4.35E+12,2014-01-29,,,,,-3.78,,
54,18880,한라비스테온공조,4.20E+12,2014-01-29,,,,,1.14,,
55,11210,현대위아,4.16E+12,2014-01-29,,,,,4.64,,
56,29780,삼성카드,4.04E+12,2014-01-29,,,,,-3.59,,
57,1300,제일모직,3.96E+12,2014-01-29,-14.79,-16.02,-12,-15.45,-8.74,,
58,34020,두산중공업,3.89E+12,2014-01-29,,,,,-1.23,,
59,5830,동부화재,3.81E+12,2014-01-29,,,,,-4.65,,
60,2790,아모레G,3.79E+12,2014-01-29,,,,,5.37,,
61,97950,CJ제일제당,3.48E+12,2014-01-29,,,,,3.39,,
62,10620,현대미포조선,3.47E+12,2014-01-29,-1.7,2.66,,,-8.93,,
63,1040,CJ,3.46E+12,2014-01-29,,,,,7.14,,
64,69960,현대백화점,3.37E+12,2014-01-29,,,,,-1.74,,
65,16360,삼성증권,3.32E+12,2014-01-29,,,,,-8.86,,
66,30000,제일기획,3.22E+12,2014-01-29,,,,,-12.68,,
67,47810,한국항공우주,3.12E+12,2014-01-29,,,,,-1.88,,
68,138930,BS금융지주,3.07E+12,2014-01-29,,,,,0.32,,
69,8770,호텔신라,3.06E+12,2014-01-29,,,,,6.79,,
70,12750,에스원,2.96E+12,2014-01-29,,,,,4.63,,
71,210,대림산업,2.88E+12,2014-01-29,,,,,6.4,,
72,28050,삼성엔지니어링,2.87E+12,2014-01-29,,,,,4.74,,
73,150,두산,2.85E+12,2014-01-29,,,,,1.1,,
74,47040,대우건설,2.83E+12,2014-01-29,,,,,19.35,,
75,12450,삼성테크윈,2.82E+12,2014-01-29,,,,,-0.56,,
76,6800,대우증권,2.81E+12,2014-01-29,,,,,-0.82,,
77,9830,한화케미칼,2.81E+12,2014-01-29,,,,,5,,
78,1450,현대해상,2.78E+12,2014-01-29,,,,,-6.43,,
79,6260,LS,2.71E+12,2014-01-29,,,,,-12.96,,
80,42670,두산인프라코어,2.71E+12,2014-01-29,3.99,,,,3.06,,
81,880,한화,2.71E+12,2014-01-29,,,,,-0.28,,
82,11780,금호석유,2.69E+12,2014-01-29,,,,,0.68,,
83,4990,롯데제과,2.64E+12,2014-01-29,,,,,-3.12,,
84,52690,한전기술,2.59E+12,2014-01-29,,,,,-5.01,,
85,114090,GKL,2.57E+12,2014-01-29,,,,,6.02,,
86,51600,한전KPS,2.53E+12,2014-01-29,,,,,15.12,,
87,64350,현대로템,2.45E+12,2014-01-29,,,,,1.91,,
88,120,CJ대한통운,2.44E+12,2014-01-29,,,,,12.15,,
89,11200,현대상선,2.40E+12,2014-01-29,,,,,-5.3,,
90,4800,효성,2.38E+12,2014-01-29,,,,,7.53,,
91,4170,신세계,2.25E+12,2014-01-29,,,,,-1.31,,
92,139130,DGB금융지주,2.24E+12,2014-01-29,,,,,-1.79,,
93,670,영풍,2.24E+12,2014-01-29,,,,,0.41,,
94,71050,한국금융지주,2.20E+12,2014-01-29,,,,,-2.53,,
95,60980,만도,2.20E+12,2014-01-29,,,,,8.61,,
96,57050,현대홈쇼핑,2.18E+12,2014-01-29,,,,,-7.44,,
97,100,유한양행,2.17E+12,2014-01-29,,,,,1.28,,
98,1740,SK네트웍스,2.09E+12,2014-01-29,,,,,-1.19,,
99,3490,대한항공,2.07E+12,2014-01-29,,,,,-2.27,,
100,73240,금호타이어,2.05E+12,2014-01-29,,,,,1.08,,
101,5300,롯데칠성,2.00E+12,2014-01-29,,,,,-6.17,,
102,10120,LS산전,2.00E+12,2014-01-29,,,,,-5.1,,
103,88980,맥쿼리인프라,1.99E+12,2014-01-29,,,,,3.34,,
104,240,한국타이어월드와이드,1.97E+12,2014-01-29,,,,,1.42,,
105,7070,GS리테일,1.95E+12,2014-01-29,,,,,7.1,,
106,2550,LIG손해보험,1.89E+12,2014-01-29,-3.08,20.04,27.59,21.66,-1.59,,
107,12630,현대산업,1.83E+12,2014-01-29,,,,,20.37,,
108,71840,롯데하이마트,1.82E+12,2014-01-29,,,,,2.59,,
109,5940,우리투자증권,1.82E+12,2014-01-29,,,,,0.88,,
110,5440,현대그린푸드,1.76E+12,2014-01-29,,,,,-6.37,,
111,6360,GS건설,1.72E+12,2014-01-29,,,,,7.13,,
112,11070,LG이노텍,1.71E+12,2014-01-29,,,,,7.53,,
113,111770,영원무역,1.71E+12,2014-01-29,,,,,-5.45,,
114,4370,농심,1.66E+12,2014-01-29,,,,,9.32,,
115,3240,태광산업,1.56E+12,2014-01-29,,,,,-1.07,,
116,37560,CJ헬로비전,1.55E+12,2014-01-29,,,,,-9.52,,
117,6280,녹십자,1.53E+12,2014-01-29,,,,,3.82,,
118,60,메리츠화재,1.53E+12,2014-01-29,-1.63,4.15,13.16,5.61,0,,
119,37620,미래에셋증권,1.51E+12,2014-01-29,-3.47,1.41,-8.72,-9.29,5.12,,
120,80,하이트진로,1.50E+12,2014-01-29,,,,,9.81,,
121,2350,넥센타이어,1.40E+12,2014-01-29,,,,,-3.04,,
122,108670,LG하우시스,1.40E+12,2014-01-29,,,,,9.94,,
123,7310,오뚜기,1.36E+12,2014-01-29,,,,,1.65,,
124,53210,스카이라이프,1.34E+12,2014-01-29,,,,,-3.39,,
125,3690,코리안리,1.33E+12,2014-01-29,,,,,-1.32,,
126,120110,코오롱인더,1.26E+12,2014-01-29,,,,,6.37,,
127,9240,한샘,1.24E+12,2014-01-29,,,,,23.43,,
128,6120,SK케미칼,1.22E+12,2014-01-29,,,,,6.14,,
129,115390,락앤락,1.22E+12,2014-01-29,-3.48,-19.27,-5.13,-15.75,-22.52,,
130,1680,대상,1.22E+12,2014-01-29,,,,,11.72,,
131,39490,키움증권,1.21E+12,2014-01-29,,,,,-2.2,,
132,181710,NHN엔터테인먼트,1.17E+12,2014-01-29,,,,,28.46,,
133,82640,동양생명,1.17E+12,2014-01-29,,,,,-6.91,,
134,128940,한미약품,1.16E+12,2014-01-29,,,,,-2.85,,
135,1120,LG상사,1.15E+12,2014-01-29,,,,,-4.71,,
136,3620,쌍용차,1.13E+12,2014-01-29,,,,,0.6,,
137,11790,SKC,1.12E+12,2014-01-29,,,,,-1.77,,
138,2270,롯데푸드,1.08E+12,2014-01-29,6.78,24.09,31.99,14.2,-3.68,,
139,20560,아시아나항공,1.06E+12,2014-01-29,,,,,-5.54,,
140,4000,삼성정밀화학,1.06E+12,2014-01-29,,,,,0.98,,
141,122900,아이마켓코리아,1.05E+12,2014-01-29,,,,,8.23,,
142,79160,CJ CGV,1.03E+12,2014-01-29,,,,,5.96,,
143,900140,코라오홀딩스,1.01E+12,2014-01-29,,,,,13.59,,
144,6040,동원산업,9.99E+11,2014-01-29,,,,,13.64,,
145,9970,영원무역홀딩스,9.95E+11,2014-01-29,,,,,1.23,,
146,3450,현대증권,9.79E+11,2014-01-29,-1.03,-15.79,-6.8,-35.06,16.15,,
147,69260,휴켐스,9.42E+11,2014-01-29,,,,,-1.74,,
148,97230,한진중공업,9.32E+11,2014-01-29,,,,,-2.6,,
149,10520,현대하이스코,9.18E+11,2014-01-29,6.76,4.01,13.61,12.6,6.46,,
150,5180,빙그레,8.92E+11,2014-01-29,,,,,8.07,,
151,69620,대웅제약,8.60E+11,2014-01-29,,,,,-2.96,,
152,93050,LG패션,8.57E+11,2014-01-29,,,,,-5.29,,
153,138040,메리츠금융지주,8.54E+11,2014-01-29,,,,,-1.21,,
154,170900,동아에스티,8.49E+11,2014-01-29,,,,,3.9,,
155,1430,세아베스틸,8.48E+11,2014-01-29,,,,,1.69,,
156,71320,지역난방공사,8.39E+11,2014-01-29,,,,,-4.14,,
157,39130,하나투어,8.31E+11,2014-01-29,,,,,-0.56,,
158,81660,휠라코리아,8.29E+11,2014-01-29,,,,,3.72,,
159,117930,한진해운,8.23E+11,2014-01-29,-11.82,-17.85,-18.16,-46.8,3.39,,
160,105630,한세실업,8.14E+11,2014-01-29,,,,,-7.13,,
161,4490,세방전지,7.57E+11,2014-01-29,,,,,-4.62,,
162,1230,동국제강,7.54E+11,2014-01-29,,,,,-1.23,,
163,44820,코스맥스,7.45E+11,2014-01-29,,,,,9.49,,
164,34120,SBS,7.40E+11,2014-01-29,,,,,-8.51,,
165,11760,현대상사,7.38E+11,2014-01-29,,,,,1.36,,
166,103140,풍산,7.37E+11,2014-01-29,,,,,-1.52,,
167,8930,한미사이언스,7.15E+11,2014-01-29,,,,,10.68,,
168,23590,다우기술,7.09E+11,2014-01-29,,,,,0.32,,
169,20000,한섬,7.08E+11,2014-01-29,,,,,-5.39,,
170,3300,한일시멘트,6.81E+11,2014-01-29,,,,,19.17,,
171,68870,LG생명과학,6.80E+11,2014-01-29,1.86,-12.19,-26.96,-27.09,-0.37,,
172,101060,SBS미디어홀딩스,6.72E+11,2014-01-29,-4,3.34,-4.19,-15.19,-7.92,,
173,175330,JB금융지주,6.60E+11,2014-01-29,,,,,-1.15,,
174,180640,한진칼,6.59E+11,2014-01-29,,,,,-10.97,,
175,7860,한일이화,6.56E+11,2014-01-29,,,,,7.52,,
176,185750,종근당,6.53E+11,2014-01-29,,,,,7.35,,
177,3920,남양유업,6.29E+11,2014-01-29,,,,,-2.17,,
178,29530,신도리코,6.27E+11,2014-01-29,,,,,0.48,,
179,19680,대교,6.27E+11,2014-01-29,,,,,-7.43,,
180,5250,녹십자홀딩스,6.25E+11,2014-01-29,,,,,22.93,,
181,18670,SK가스,6.25E+11,2014-01-29,,,,,5.11,,
182,17800,현대엘리베이,6.24E+11,2014-01-29,,,,,-15.74,,
183,5880,대한해운,6.19E+11,2014-01-29,,,,,-13.53,,
184,31430,신세계인터내셔날,5.92E+11,2014-01-29,,,,,-7.24,,
185,16420,NH농협증권,5.90E+11,2014-01-29,-4.1,0.2,0.51,-4.84,0,,
186,5850,에스엘,5.86E+11,2014-01-29,,,,,-4.05,,
187,17390,서울가스,5.78E+11,2014-01-29,,,,,6.93,,
188,3410,쌍용양회,5.67E+11,2014-01-29,13.12,30.3,20.39,16.89,15.42,,
189,82740,두산엔진,5.62E+11,2014-01-29,,,,,3.71,,
190,70,삼양홀딩스,5.60E+11,2014-01-29,,,,,6.85,,
191,161890,한국콜마,5.55E+11,2014-01-29,,,,,1.75,,
192,640,동아쏘시오홀딩스,5.53E+11,2014-01-29,,,,,-3.53,,
193,8560,메리츠종금증권,5.52E+11,2014-01-29,1.68,8.87,18.59,30.33,2.51,,
194,28670,팬오션,5.34E+11,2014-01-29,,,,,2.16,,
195,2240,고려제강,5.33E+11,2014-01-29,,,,,1.13,,
196,84870,베이직하우스,5.32E+11,2014-01-29,,,,,10.2,,
197,4150,한솔제지,5.30E+11,2014-01-29,,,,,6.59,,
198,34310,NICE,5.27E+11,2014-01-29,,,,,-5.4,,
199,5610,삼립식품,5.25E+11,2014-01-29,,,,,10.2,,
